entrez	symbol	CMPO
10847	SRCAP	CMPO:0000182
10856	RUVBL2	CMPO:0000052
10856	RUVBL2	CMPO:0000328
10856	RUVBL2	CMPO:0000348
10856	RUVBL2	CMPO:0000305
10856	RUVBL2	CMPO:0000307
10858	CYP46A1	CMPO:0000345
10858	CYP46A1	CMPO:0000213
10859	NA	CMPO:0000052
10859	NA	CMPO:0000305
10864	SLC22A7	CMPO:0000237
10865	ARID5A	CMPO:0000345
10868	NA	CMPO:0000345
10869	USP19	CMPO:0000318
10869	USP19	CMPO:0000319
10874	NMU	CMPO:0000246
10874	NMU	CMPO:0000319
1088	CEACAM8	CMPO:0000345
1088	CEACAM8	CMPO:0000307
1088	CEACAM8	CMPO:0000156
10886	NPFFR2	CMPO:0000105
10888	GPR83	CMPO:0000182
10888	GPR83	CMPO:0000345
10891	PPARGC1A	CMPO:0000030
10893	MMP24	CMPO:0000236
10893	MMP24	CMPO:0000030
10898	CPSF4	CMPO:0000318
109	ADCY3	CMPO:0000030
10900	RUNDC3A	CMPO:0000182
10901	DHRS4	CMPO:0000182
10902	BRD8	CMPO:0000030
10904	BLCAP	CMPO:0000345
10907	TXNL4A	CMPO:0000213
10907	TXNL4A	CMPO:0000157
10907	TXNL4A	CMPO:0000326
10907	TXNL4A	CMPO:0000346
10910	SUGT1	CMPO:0000182
10910	SUGT1	CMPO:0000030
10911	UTS2	CMPO:0000157
10911	UTS2	CMPO:0000213
10915	TCERG1	CMPO:0000345
10920	COPS8	CMPO:0000182
10922	FASTK	CMPO:0000345
10923	SUB1	CMPO:0000140
10928	RALBP1	CMPO:0000128
10930	APOBEC2	CMPO:0000345
10935	PRDX3	CMPO:0000319
10935	PRDX3	CMPO:0000030
10935	PRDX3	CMPO:0000318
10936	GPR75	CMPO:0000346
10938	EHD1	CMPO:0000318
10938	EHD1	CMPO:0000182
10940	POP1	CMPO:0000182
10943	MSL3	CMPO:0000182
10943	MSL3	CMPO:0000030
10943	MSL3	CMPO:0000213
10946	SF3A3	CMPO:0000182
10954	PDIA5	CMPO:0000182
10956	OS9	CMPO:0000318
10956	OS9	CMPO:0000182
10961	NA	CMPO:0000182
10965	ACOT2	CMPO:0000182
10974	ADIRF	CMPO:0000182
10975	UQCR11	CMPO:0000241
10979	FERMT2	CMPO:0000345
10987	COPS5	CMPO:0000182
10990	NA	CMPO:0000346
10992	SF3B2	CMPO:0000182
10993	SDS	CMPO:0000182
10998	SLC27A5	CMPO:0000345
10998	SLC27A5	CMPO:0000362
10998	SLC27A5	CMPO:0000105
10998	SLC27A5	CMPO:0000083
10998	SLC27A5	CMPO:0000030
11004	KIF2C	CMPO:0000157
11004	KIF2C	CMPO:0000319
11004	KIF2C	CMPO:0000326
11004	KIF2C	CMPO:0000318
11004	KIF2C	CMPO:0000213
11006	NA	CMPO:0000346
11007	CCDC85B	CMPO:0000305
11007	CCDC85B	CMPO:0000318
11018	TMED1	CMPO:0000318
11019	LIAS	CMPO:0000083
11024	LILRA1	CMPO:0000182
11027	NA	CMPO:0000105
11027	NA	CMPO:0000346
11033	ADAP1	CMPO:0000182
11033	ADAP1	CMPO:0000318
1104	RCC1	CMPO:0000318
1104	RCC1	CMPO:0000326
1104	RCC1	CMPO:0000348
1104	RCC1	CMPO:0000213
1104	RCC1	CMPO:0000157
1104	RCC1	CMPO:0000307
11043	MID2	CMPO:0000345
11043	MID2	CMPO:0000202
11043	MID2	CMPO:0000030
11043	MID2	CMPO:0000319
11045	UPK1A	CMPO:0000182
11046	SLC35D2	CMPO:0000157
11047	ADRM1	CMPO:0000318
11052	CPSF6	CMPO:0000318
11054	OGFR	CMPO:0000319
11054	OGFR	CMPO:0000246
11060	WWP2	CMPO:0000077
11061	LECT1	CMPO:0000182
11065	UBE2C	CMPO:0000318
11066	SNRNP35	CMPO:0000318
11069	RAPGEF4	CMPO:0000318
1107	CHD3	CMPO:0000318
11073	TOPBP1	CMPO:0000318
11076	TPPP	CMPO:0000318
11077	HSF2BP	CMPO:0000318
11078	TRIOBP	CMPO:0000182
11078	TRIOBP	CMPO:0000362
1109	AKR1C4	CMPO:0000326
1109	AKR1C4	CMPO:0000157
1109	AKR1C4	CMPO:0000213
11094	CACFD1	CMPO:0000362
11094	CACFD1	CMPO:0000318
11099	PTPN21	CMPO:0000319
11104	KATNA1	CMPO:0000213
11104	KATNA1	CMPO:0000236
11107	PRDM5	CMPO:0000318
11107	PRDM5	CMPO:0000319
1111	CHEK1	CMPO:0000182
11112	HIBADH	CMPO:0000318
11113	CIT	CMPO:0000157
11113	CIT	CMPO:0000326
11113	CIT	CMPO:0000202
11113	CIT	CMPO:0000030
11113	CIT	CMPO:0000213
11116	FGFR1OP	CMPO:0000318
11118	BTN3A2	CMPO:0000157
11118	BTN3A2	CMPO:0000213
11118	BTN3A2	CMPO:0000156
11118	BTN3A2	CMPO:0000326
11118	BTN3A2	CMPO:0000348
11119	NA	CMPO:0000118
11119	NA	CMPO:0000318
11119	NA	CMPO:0000319
1112	FOXN3	CMPO:0000182
1112	FOXN3	CMPO:0000326
