Entrez Gene Interactor A,Entrez Gene Interactor B
5581,7416
5581,291
5581,3099
5581,7416
5581,7416
4868,4868
5861,9950
7430,57147
4087,1855
4092,1855
5058,5879
5058,998
5580,57048
7319,1029
2241,1499
1499,999
999,2241
51762,999
51762,1499
51762,7082
51762,3688
51762,7431
51762,7283
51762,203068
5757,3065
5757,9611
84033,286
28964,8500
28964,8500
80852,8500
80852,28964
28964,8500
28964,5792
347902,347902
9611,2874
8874,22941
8874,22941
22941,8874
156,5148
5148,156
5148,156
5148,2885
5148,1785
1816,10672
1816,2768
5371,6722
5371,1387
5371,1387
5371,6722
6722,1387
6722,5371
1387,5371
1387,6722
6721,7329
1244,9368
1080,9368
4171,4175
4171,4176
4175,4171
4175,4175
4175,4176
4176,4171
4176,4175
990,4176
8318,4175
8318,4176
4175,8318
4176,990
4176,8318
6117,4175
6117,4176
4171,6117
4175,6117
4176,990
2286,10565
2286,1029
8852,10566
10566,8852
4790,3146
2562,9495
2562,9495
2562,5578
5594,2002
5594,7175
29127,8153
29127,8153
94121,4218
1432,4092
4092,5608
904,1025
10013,79885
79885,10013
23028,2969
23028,23028
23028,10362
23028,3065
2969,23028
23028,2969
6634,10419
6634,10419
6632,10419
6634,1207
6632,1207
1207,10419
1207,6628
6634,1207
1207,6634
1207,6632
1207,6633
1207,6635
1207,6632
1207,6634
1207,10419
1207,10419
10419,10419
10419,4155
10419,3716
10419,3717
10419,3718
10419,10419
10419,1207
10419,79084
1207,79084
1207,10419
10419,1207
10419,79084
79084,10419
1207,10419
10419,1207
10419,79084
79084,6632
79084,6633
79084,6634
79084,6635
79084,6628
2976,9328
9328,2976
10623,9328
10623,2975
10623,2976
2972,9328
4209,2033
2033,5468
3065,2969
9611,23118
9611,23118
9611,4790
23118,3065
23118,9611
23118,9611
23118,4790
4790,23118
3065,3329
3065,3308
3308,3065
10902,6256
9611,2874
9611,2874
9611,2874
2874,9611
2874,9611
10902,7068
7068,6256
3065,7153
1616,7341
5371,7341
2033,8850
2033,5970
5970,3065
10497,112755
8607,1499
1499,8607
8607,1499
1499,8607
8607,51176
54107,11177
54107,54108
54107,54108
545,3065
545,9112
545,9219
8479,7290
3065,9219
3065,23028
23028,3065
5371,9611
3065,5371
9611,5371
3065,5371
5371,6497
5371,9611
9611,6497
5371,6497
5371,3065
3065,5371
3065,5371
3065,5371
5371,3065
3065,7153
3065,7153
7153,3065
7153,3065
4926,8089
4926,8089
8089,4926
3065,5970
3065,4790
5970,3065
4790,3065
5970,3065
3065,5970
3065,4790
5970,1387
1387,5970
5970,3065
3065,5970
8028,8089
8089,8028
8028,8089
8089,8028
2242,3308
54880,604
54880,604
54880,3065
54880,10013
604,54880
604,9611
3065,5931
9112,3065
3065,9112
3065,7050
898,23451
898,983
891,983
5371,1616
5371,1616
3065,1616
5371,5371
3065,1616
1616,3065
1616,5371
7184,6601
8819,5931
8819,3065
8819,3065
5931,8819
3065,8819
11177,9031
9219,3065
